都道府県,地点,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
北海道,札幌,24.7,20.7,11.9,5.4,-0.1,-4,-0.5,3.6,9.4,14.6,18.5,22.6
青森県,青森,25.9,22.2,13.7,7.7,2.7,-1.8,1.4,4.5,10.4,15.9,18.2,23.7
岩手県,盛岡,25.8,21.2,13,6.6,2.1,-2.4,1.6,4.7,11,16.7,19.6,24.3
宮城県,仙台,27.5,23.8,16.2,10.5,5.7,1.8,4.7,6.8,12.7,17.4,19.6,24.6
秋田県,秋田,26.9,22.8,14.7,8.9,4.1,0,3.3,5.7,11.8,16.6,20.5,25.4
山形県,山形,27.1,22.8,14.8,8.1,3.4,-0.4,3.3,5.7,12.8,18,20.7,25.4
福島県,福島,27.6,24,16,9.8,5.2,1.7,4.9,7,13.8,19,20.6,25.7
茨城県,水戸,28,25.2,17.5,11,6.4,3.4,6.1,9.2,14.7,18.9,20.4,25.6
栃木県,宇都宮,28.4,25.1,17.4,10.6,5.7,2.8,5.9,9.2,15,19.6,21.2,26.2
群馬県,前橋,29.8,25.8,18.1,11.6,6.9,3.9,6.9,9.8,15.7,20.3,22.1,27.4
埼玉県,熊谷,30.1,26.2,18.5,12,7,4.4,7.2,10.5,16,20.5,22.1,27.6
千葉県,千葉,29.5,26.8,19,13.7,9.2,6.8,8.5,11.3,16.8,20.6,21.6,27.2
東京都,東京,29.6,26.5,18.5,12.8,8.4,6.1,8,11,16.6,20.4,21.5,27.2
神奈川県,横浜,29.5,26.6,18.9,13.4,9.3,6.7,8.5,11.3,16.7,20.6,21.6,27.2
新潟県,新潟,27.7,24.8,17.4,10.9,6.2,2.4,4.9,7.3,13.3,18.2,21.7,26.3
富山県,富山,28.8,25.6,18.3,11.4,7.5,2.5,5.1,7.9,14.3,19.5,22.4,27.6
石川県,金沢,29,26.1,18.8,12.3,8.2,3.6,5.8,8.4,14.9,19.5,22.7,27.8
福井県,福井,28.9,26,18.8,11.4,7.3,2.8,5,8.7,15.3,20.1,22.8,27.8
山梨県,甲府,29.3,25.9,18.4,10.4,6,3.5,6.7,10.7,16.3,20.6,22.4,27.6
長野県,長野,26.9,23.5,15.8,7.7,2.9,-0.5,2.7,6.2,13.3,18.2,21.1,26.2
岐阜県,岐阜,30.6,27.2,20,12.5,8.1,3.9,7.6,10.7,16.7,21.2,23.3,29
静岡県,静岡,29.4,27,20.4,14.2,10.4,6.9,9.2,12.1,17.3,20.6,22.4,27.2
愛知県,名古屋,30.7,27.5,20.1,12.8,8.2,4.3,7.9,11,16.8,21.1,23,29
三重県,津,30.3,27.2,20,13.2,8.7,5,7.6,10.3,16,20.3,22.6,28.4
滋賀県,彦根,29.5,26.7,19.6,11.9,7.4,3.6,5.9,8.7,14.6,19.7,22.3,27.7
京都府,京都,30.2,27.6,20.6,12.5,8.3,4.9,7.4,10.2,16.8,21.5,23.4,29.2
大阪府,大阪,30.8,28.1,21.1,13.9,9.6,6.2,8.4,10.9,17.2,21.6,23.4,29.3
兵庫県,神戸,29.8,27.7,21.6,14.3,9.9,6,8.5,10.8,17.2,21.4,23.2,29
奈良県,奈良,29.6,26.8,19.7,11.9,7.8,4.6,7.1,9.5,16.1,20.8,22.6,28.3
和歌山県,和歌山,29.9,27.6,21.2,13.8,9.7,6.6,8.7,10.9,17.3,21.4,23,29.1
鳥取県,鳥取,28.9,25.8,19.1,12.2,8,3.7,5.8,8.9,15.6,19.9,22.6,28.3
島根県,松江,28.7,25.6,19.4,12.2,8.1,4.4,6.3,8.8,15.1,19.4,22.4,28.2
岡山県,岡山,29.9,26.8,20.3,12,7.3,4.4,7.1,9.8,16.1,20.7,22.8,29.1
広島県,広島,29.7,27,21,13.3,8.3,5.4,7.9,10.8,16.4,21.1,23.1,29.3
山口県,下関,29.3,27.7,22,15.1,10.5,7.4,9.5,11.2,16.2,20.6,22.6,28.5
徳島県,徳島,29.6,27.2,21.4,14.1,9.5,6.1,8.5,10.9,16.9,21.3,22.8,29.2
香川県,高松,30.6,27.7,21.5,13.6,8.9,5.9,7.9,10.3,16.6,21.3,23.1,29.7
愛媛県,松山,29.4,27.5,21.7,14,9.6,6.6,8.8,11,16.5,20.9,22.5,28.8
高知県,高知,29,27.4,22.5,14.2,10,6.5,9.7,12.7,17.4,21.5,23.2,28.5
福岡県,福岡,29.9,28,22.4,14.8,10.4,7.1,9.5,11.9,17,21.6,23.5,29.8
佐賀県,佐賀,29.4,27.8,22.3,13.9,9.3,5.8,8.8,11.9,17.1,22.2,23.8,29.6
長崎県,長崎,29.1,27.7,22.8,15.1,10.7,7.3,9.8,12.4,17,21.2,23.3,28.5
熊本県,熊本,29.2,28,23,13.9,9.2,5.5,9,12.3,17.3,22.3,23.8,29.5
大分県,大分,28.9,27.2,22.2,14.3,9.9,6.7,9,11,16.5,21.1,22.5,29.1
宮崎県,宮崎,28.8,27.8,23,15,10.6,8.1,10.9,13.3,17.9,21.4,23.4,29.5
鹿児島県,鹿児島,29.6,28.6,24.6,16.5,11.8,8.4,11.5,14.4,18.6,22.3,24.5,29.9
沖縄県,那覇,29.5,29.7,28,23.4,20.1,17.1,18.2,20,23.1,24,26.7,29.3
