都道府県,地点,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
北海道,札幌,-3.2,-2.7,1.1,7.3,13.0,17.0,21.1,22.3,18.6,12.1,5.2,-0.9
青森県,青森,-0.9,-0.4,2.8,8.5,13.7,17.6,21.8,23.5,19.9,13.5,7.2,1.4
岩手県,盛岡,-1.6,-0.9,2.6,8.7,14.5,18.8,22.4,23.5,19.3,12.6,6.2,0.8
宮城県,仙台,2.0,2.4,5.5,10.7,15.6,19.2,22.9,24.4,21.2,15.7,9.8,4.5
秋田県,秋田,0.4,0.8,4.0,9.6,15.2,19.6,23.4,25.0,21.0,14.5,8.3,2.8
山形県,山形,-0.1,0.4,4.0,10.2,16.2,20.3,23.9,25.0,20.6,14.1,7.7,2.4
福島県,福島,1.9,2.5,5.9,11.7,17.2,20.7,24.3,25.5,21.6,15.6,9.5,4.3
茨城県,水戸,3.3,4.1,7.4,12.3,17.0,20.3,24.2,25.6,22.1,16.6,10.8,5.6
栃木県,宇都宮,2.8,3.8,7.4,12.8,17.8,21.2,24.8,26.0,22.4,16.7,10.6,5.1
群馬県,前橋,3.7,4.5,7.9,13.4,18.6,22.1,25.8,26.8,22.9,17.1,11.2,6.1
埼玉県,熊谷,4.3,5.1,8.6,13.9,18.8,22.3,26.0,27.1,23.3,17.6,11.7,6.5
千葉県,千葉,6.1,6.6,9.6,14.5,18.9,21.9,25.7,27.1,23.8,18.6,13.4,8.6
東京都,東京,5.4,6.1,9.4,14.3,18.8,21.9,25.7,26.9,23.3,18.0,12.5,7.7
神奈川県,横浜,6.1,6.7,9.7,14.5,18.8,21.8,25.6,27.0,23.7,18.5,13.4,8.7
新潟県,新潟,2.5,3.1,6.2,11.3,16.7,20.9,24.9,26.5,22.5,16.7,10.5,5.3
富山県,富山,3.0,3.4,6.9,12.3,17.5,21.4,25.5,26.9,22.8,17.0,11.2,5.7
石川県,金沢,4.0,4.2,7.3,12.6,17.7,21.6,25.8,27.3,23.2,17.6,11.9,6.8
福井県,福井,3.2,3.7,7.2,12.8,18.1,22.0,26.1,27.4,23.1,17.1,11.3,5.9
山梨県,甲府,3.1,4.7,8.6,14.0,18.8,22.3,26.0,27.1,23.2,17.1,10.8,5.4
長野県,長野,-0.4,0.4,4.3,10.6,16.4,20.4,24.3,25.4,21.0,14.4,7.9,2.3
岐阜県,岐阜,4.6,5.4,9.0,14.5,19.4,23.2,27.0,28.3,24.5,18.7,12.5,7.0
静岡県,静岡,6.9,7.7,10.7,15.2,19.2,22.4,26.1,27.4,24.5,19.4,14.3,9.3
愛知県,名古屋,4.8,5.5,9.2,14.6,19.4,23.0,26.9,28.2,24.5,18.6,12.6,7.2
三重県,津,5.7,5.9,9.0,14.2,19.0,22.7,26.8,27.9,24.4,18.8,13.2,8.1
滋賀県,彦根,3.9,4.2,7.3,12.4,17.6,21.8,26.1,27.5,23.6,17.7,11.7,6.5
京都府,京都,4.8,5.4,8.8,14.4,19.5,23.3,27.3,28.5,24.4,18.4,12.5,7.2
大阪府,大阪,6.2,6.6,9.9,15.2,20.1,23.6,27.7,29.0,25.2,19.5,13.8,8.7
兵庫県,神戸,6.2,6.5,9.8,15.0,19.8,23.4,27.1,28.6,25.4,19.8,14.2,8.8
奈良県,奈良,4.5,5.1,8.5,14.0,19.0,22.9,26.8,27.8,23.8,17.7,11.8,6.8
和歌山県,和歌山,6.2,6.7,9.9,15.1,19.7,23.2,27.2,28.4,24.9,19.3,13.8,8.6
鳥取県,鳥取,4.2,4.7,7.9,13.2,18.1,22.0,26.2,27.3,22.9,17.2,11.9,6.8
島根県,松江,4.6,5.0,8.0,13.1,18.0,21.7,25.8,27.1,22.9,17.4,12.0,7.0
岡山県,岡山,4.6,5.2,8.7,14.1,19.1,22.7,27.0,28.1,23.9,18.0,11.6,6.6
広島県,広島,5.4,6.2,9.5,14.8,19.6,23.2,27.2,28.5,24.7,18.8,12.9,7.5
山口県,下関,7.2,7.5,10.3,14.7,19.1,22.5,26.5,27.9,24.6,19.7,14.5,9.5
徳島県,徳島,6.3,6.8,9.9,15.0,19.6,23.0,26.8,28.1,24.8,19.3,13.8,8.7
香川県,高松,5.9,6.3,9.4,14.7,19.8,23.3,27.5,28.6,24.7,19.0,13.2,8.1
愛媛県,松山,6.2,6.8,9.9,14.8,19.4,22.9,27.1,28.1,24.6,19.1,13.6,8.5
高知県,高知,6.7,7.8,11.2,15.8,20.0,23.1,27.0,27.9,25.0,19.9,14.2,8.8
福岡県,福岡,6.9,7.8,10.8,15.4,19.9,23.3,27.4,28.4,24.7,19.6,14.2,9.1
佐賀県,佐賀,5.8,7.0,10.4,15.3,20.0,23.5,27.2,28.2,24.5,19.1,13.3,7.8
長崎県,長崎,7.2,8.1,11.2,15.6,19.7,23.0,26.9,28.1,24.9,20.0,14.5,9.4
熊本県,熊本,6.0,7.4,10.9,15.8,20.5,23.7,27.5,28.4,25.2,19.6,13.5,8.0
大分県,大分,6.5,7.2,10.2,14.8,19.3,22.6,26.8,27.7,24.2,19.1,13.8,8.7
宮崎県,宮崎,7.8,8.9,12.1,16.4,20.3,23.2,27.3,27.6,24.7,20.0,14.7,9.7
鹿児島県,鹿児島,8.7,9.9,12.8,17.1,21.0,24.0,28.1,28.8,26.3,21.6,16.2,10.9
沖縄県,那覇,17.3,17.5,19.1,21.5,24.2,27.2,29.1,29.0,27.9,25.5,22.5,19.0
