順位,都道府県,地点,電力会社,実測12か月_合計円,実測_暖房円,実測_冷房円,平年値_合計円,実測-平年_円,実測_効率一定なら円
1,北海道,札幌,北海道電力,240317,239173,1144,271111,-30794,178440
2,岩手県,盛岡,東北電力,179242,176172,3070,204438,-25196,139269
3,青森県,青森,東北電力,174276,171480,2796,195817,-21541,137143
4,山形県,山形,東北電力,144297,137580,6717,171516,-27219,124253
5,秋田県,秋田,東北電力,142627,136231,6397,167681,-25054,124846
6,福島県,福島,東北電力,120953,112971,7982,135392,-14439,109428
7,宮城県,仙台,東北電力,119461,113274,6187,136750,-17289,108506
8,新潟県,新潟,東北電力,114946,104763,10182,124561,-9615,105503
9,長野県,長野,中部電力ミライズ,114316,108710,5606,126265,-11949,91613
10,栃木県,宇都宮,東京電力EP,108719,97083,11636,115053,-6334,100779
11,富山県,富山,北陸電力,107953,93291,14662,112397,-4444,99922
12,鳥取県,鳥取,中国電力,105939,87756,18183,107502,-1563,104817
13,福井県,福井,北陸電力,105913,90202,15711,105622,291,98347
14,岡山県,岡山,中国電力,105575,82375,23199,104880,695,105920
15,島根県,松江,中国電力,102636,85324,17313,103710,-1074,102841
16,山梨県,甲府,東京電力EP,99928,83327,16601,104999,-5071,98219
17,茨城県,水戸,東京電力EP,98353,88167,10186,106956,-8603,96746
18,群馬県,前橋,東京電力EP,97254,80233,17022,102874,-5620,96851
19,石川県,金沢,北陸電力,95834,79812,16022,98801,-2967,94807
20,広島県,広島,中国電力,95492,71971,23521,96020,-528,97520
21,埼玉県,熊谷,東京電力EP,94496,76004,18492,96408,-1912,94860
22,香川県,高松,四国電力,92164,66258,25906,89255,2909,94535
23,徳島県,徳島,四国電力,83899,61590,22310,82157,1742,86667
24,東京都,東京,東京電力EP,82516,65132,17384,84638,-2122,85010
25,愛媛県,松山,四国電力,81971,60259,21712,83515,-1544,85303
26,山口県,下関,中国電力,79713,57273,22440,78995,718,83873
27,神奈川県,横浜,東京電力EP,77249,59892,17357,77871,-622,80473
28,千葉県,千葉,東京電力EP,76968,59305,17663,78735,-1767,80183
29,滋賀県,彦根,関西電力,75813,62359,13454,77296,-1483,74971
30,高知県,高知,四国電力,74489,54187,20302,75742,-1253,77795
31,岐阜県,岐阜,中部電力ミライズ,70552,53393,17160,69801,751,70704
32,奈良県,奈良,関西電力,70123,55687,14436,71499,-1376,70599
33,京都府,京都,関西電力,69196,51896,17300,69870,-674,70040
34,愛知県,名古屋,中部電力ミライズ,68978,51332,17646,68276,702,69539
35,三重県,津,中部電力ミライズ,66881,50895,15986,64230,2651,68058
36,大阪府,大阪,関西電力,62864,44020,18844,61941,923,64864
37,兵庫県,神戸,関西電力,60193,43571,16622,60845,-652,62102
38,和歌山県,和歌山,関西電力,59657,42891,16766,60344,-687,61915
39,佐賀県,佐賀,九州電力,57177,41121,16057,57376,-199,58940
40,熊本県,熊本,九州電力,56815,40905,15910,56371,444,58394
41,大分県,大分,九州電力,54077,39906,14170,53758,319,56427
42,福岡県,福岡,九州電力,53453,36297,17156,52302,1151,55973
43,静岡県,静岡,中部電力ミライズ,52320,39231,13089,52582,-262,54887
44,長崎県,長崎,九州電力,48795,34555,14240,49544,-749,51390
45,宮崎県,宮崎,九州電力,46047,30845,15201,45282,765,48754
46,沖縄県,那覇,沖縄電力,45765,1426,44339,37353,8412,46044
47,鹿児島県,鹿児島,九州電力,44708,26043,18665,42920,1788,47208
