試行,bh,bc,hloss,cop_shift,cool_a,defrost_f,最高の県,最高円,最安の県,最安円,倍率,札幌円,東京円,札幌_効率一定円,過小評価%,東京の順位,上位5は北海道と東北か
1,16.0,23.0,200.0,0.85,4.3,0.78,北海道,222377,宮崎県,40393,5.51,222377,71323,153041,31.2,24,はい
2,16.0,23.0,200.0,0.85,4.3,0.85,北海道,209470,宮崎県,40393,5.19,209470,71323,153041,26.9,24,はい
3,16.0,23.0,200.0,0.85,4.3,0.95,北海道,194331,宮崎県,40393,4.81,194331,71323,153041,21.2,24,はい
4,16.0,23.0,200.0,0.85,5.0,0.78,北海道,221985,宮崎県,37462,5.93,221985,67946,152649,31.2,24,はい
5,16.0,23.0,200.0,0.85,5.0,0.85,北海道,209078,宮崎県,37462,5.58,209078,67946,152649,27.0,24,はい
6,16.0,23.0,200.0,0.85,5.0,0.95,北海道,193939,宮崎県,37462,5.18,193939,67946,152649,21.3,24,はい
7,16.0,23.0,200.0,0.85,5.7,0.78,北海道,221690,鹿児島県,34904,6.35,221690,65466,152355,31.3,24,はい
8,16.0,23.0,200.0,0.85,5.7,0.85,北海道,208784,鹿児島県,34904,5.98,208784,65466,152355,27.0,24,はい
9,16.0,23.0,200.0,0.85,5.7,0.95,北海道,193645,鹿児島県,34904,5.55,193645,65466,152355,21.3,24,はい
10,16.0,23.0,200.0,1.0,4.3,0.78,北海道,189434,宮崎県,37177,5.1,189434,63937,130499,31.1,25,はい
11,16.0,23.0,200.0,1.0,4.3,0.85,北海道,178464,宮崎県,37177,4.8,178464,63937,130499,26.9,25,はい
12,16.0,23.0,200.0,1.0,4.3,0.95,北海道,165595,宮崎県,37177,4.45,165595,63937,130499,21.2,25,はい
13,16.0,23.0,200.0,1.0,5.0,0.78,北海道,189042,宮崎県,34246,5.52,189042,60559,130107,31.2,24,はい
14,16.0,23.0,200.0,1.0,5.0,0.85,北海道,178072,宮崎県,34246,5.2,178072,60559,130107,26.9,24,はい
15,16.0,23.0,200.0,1.0,5.0,0.95,北海道,165204,宮崎県,34246,4.82,165204,60559,130107,21.2,24,はい
16,16.0,23.0,200.0,1.0,5.7,0.78,北海道,188748,宮崎県,32101,5.88,188748,58079,129813,31.2,24,はい
17,16.0,23.0,200.0,1.0,5.7,0.85,北海道,177777,宮崎県,32101,5.54,177777,58079,129813,27.0,24,はい
18,16.0,23.0,200.0,1.0,5.7,0.95,北海道,164909,宮崎県,32101,5.14,164909,58079,129813,21.3,24,はい
19,16.0,23.0,200.0,1.15,4.3,0.78,北海道,165086,宮崎県,34800,4.74,165086,58477,113838,31.0,25,はい
20,16.0,23.0,200.0,1.15,4.3,0.85,北海道,155546,宮崎県,34800,4.47,155546,58477,113838,26.8,25,はい
21,16.0,23.0,200.0,1.15,4.3,0.95,北海道,144356,宮崎県,34800,4.15,144356,58477,113838,21.1,25,はい
22,16.0,23.0,200.0,1.15,5.0,0.78,北海道,164694,宮崎県,31870,5.17,164694,55100,113446,31.1,25,はい
23,16.0,23.0,200.0,1.15,5.0,0.85,北海道,155154,宮崎県,31870,4.87,155154,55100,113446,26.9,25,はい
24,16.0,23.0,200.0,1.15,5.0,0.95,北海道,143964,宮崎県,31870,4.52,143964,55100,113446,21.2,25,はい
25,16.0,23.0,200.0,1.15,5.7,0.78,北海道,164399,宮崎県,29724,5.53,164399,52619,113151,31.2,24,はい
26,16.0,23.0,200.0,1.15,5.7,0.85,北海道,154859,宮崎県,29724,5.21,154859,52619,113151,26.9,24,はい
27,16.0,23.0,200.0,1.15,5.7,0.95,北海道,143670,宮崎県,29724,4.83,143670,52619,113151,21.2,24,はい
28,16.0,23.0,234.6,0.85,4.3,0.78,北海道,260848,宮崎県,47380,5.51,260848,83662,179517,31.2,24,はい
29,16.0,23.0,234.6,0.85,4.3,0.85,北海道,245708,宮崎県,47380,5.19,245708,83662,179517,26.9,24,はい
30,16.0,23.0,234.6,0.85,4.3,0.95,北海道,227950,宮崎県,47380,4.81,227950,83662,179517,21.2,24,はい
31,16.0,23.0,234.6,0.85,5.0,0.78,北海道,260388,宮崎県,43943,5.93,260388,79701,179058,31.2,24,はい
32,16.0,23.0,234.6,0.85,5.0,0.85,北海道,245249,宮崎県,43943,5.58,245249,79701,179058,27.0,24,はい
33,16.0,23.0,234.6,0.85,5.0,0.95,北海道,227491,宮崎県,43943,5.18,227491,79701,179058,21.3,24,はい
34,16.0,23.0,234.6,0.85,5.7,0.78,北海道,260043,鹿児島県,40942,6.35,260043,76791,178712,31.3,24,はい
35,16.0,23.0,234.6,0.85,5.7,0.85,北海道,244903,鹿児島県,40942,5.98,244903,76791,178712,27.0,24,はい
36,16.0,23.0,234.6,0.85,5.7,0.95,北海道,227145,鹿児島県,40942,5.55,227145,76791,178712,21.3,24,はい
37,16.0,23.0,234.6,1.0,4.3,0.78,北海道,222207,宮崎県,43609,5.1,222207,74998,153076,31.1,25,はい
38,16.0,23.0,234.6,1.0,4.3,0.85,北海道,209338,宮崎県,43609,4.8,209338,74998,153076,26.9,25,はい
39,16.0,23.0,234.6,1.0,4.3,0.95,北海道,194243,宮崎県,43609,4.45,194243,74998,153076,21.2,25,はい
40,16.0,23.0,234.6,1.0,5.0,0.78,北海道,221747,宮崎県,40171,5.52,221747,71036,152616,31.2,24,はい
41,16.0,23.0,234.6,1.0,5.0,0.85,北海道,208878,宮崎県,40171,5.2,208878,71036,152616,26.9,24,はい
42,16.0,23.0,234.6,1.0,5.0,0.95,北海道,193784,宮崎県,40171,4.82,193784,71036,152616,21.2,24,はい
43,16.0,23.0,234.6,1.0,5.7,0.78,北海道,221401,宮崎県,37654,5.88,221401,68127,152270,31.2,24,はい
44,16.0,23.0,234.6,1.0,5.7,0.85,北海道,208533,宮崎県,37654,5.54,208533,68127,152270,27.0,24,はい
45,16.0,23.0,234.6,1.0,5.7,0.95,北海道,193438,宮崎県,37654,5.14,193438,68127,152270,21.3,24,はい
46,16.0,23.0,234.6,1.15,4.3,0.78,北海道,193645,宮崎県,40821,4.74,193645,68593,133532,31.0,25,はい
47,16.0,23.0,234.6,1.15,4.3,0.85,北海道,182455,宮崎県,40821,4.47,182455,68593,133532,26.8,25,はい
48,16.0,23.0,234.6,1.15,4.3,0.95,北海道,169330,宮崎県,40821,4.15,169330,68593,133532,21.1,25,はい
49,16.0,23.0,234.6,1.15,5.0,0.78,北海道,193186,宮崎県,37383,5.17,193186,64632,133072,31.1,25,はい
50,16.0,23.0,234.6,1.15,5.0,0.85,北海道,181995,宮崎県,37383,4.87,181995,64632,133072,26.9,25,はい
51,16.0,23.0,234.6,1.15,5.0,0.95,北海道,168870,宮崎県,37383,4.52,168870,64632,133072,21.2,25,はい
52,16.0,23.0,234.6,1.15,5.7,0.78,北海道,192840,宮崎県,34867,5.53,192840,61722,132726,31.2,24,はい
53,16.0,23.0,234.6,1.15,5.7,0.85,北海道,181650,宮崎県,34867,5.21,181650,61722,132726,26.9,24,はい
54,16.0,23.0,234.6,1.15,5.7,0.95,北海道,168525,宮崎県,34867,4.83,168525,61722,132726,21.2,24,はい
55,16.0,23.0,270.0,0.85,4.3,0.78,北海道,300209,宮崎県,54530,5.51,300209,96287,206606,31.2,24,はい
56,16.0,23.0,270.0,0.85,4.3,0.85,北海道,282784,宮崎県,54530,5.19,282784,96287,206606,26.9,24,はい
57,16.0,23.0,270.0,0.85,4.3,0.95,北海道,262347,宮崎県,54530,4.81,262347,96287,206606,21.2,24,はい
58,16.0,23.0,270.0,0.85,5.0,0.78,北海道,299680,宮崎県,50574,5.93,299680,91727,206077,31.2,24,はい
59,16.0,23.0,270.0,0.85,5.0,0.85,北海道,282255,宮崎県,50574,5.58,282255,91727,206077,27.0,24,はい
60,16.0,23.0,270.0,0.85,5.0,0.95,北海道,261818,宮崎県,50574,5.18,261818,91727,206077,21.3,24,はい
